,filename,id,page,content_x,tag,article_id
473,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742652-ZONE1146013771,2,"kunna ge det sitt bifall. På onsdagen röstades sedan Moderaternas och Kristdemokraternas budget igenom med stöd av Sverigedemokraterna. Och i fredagens statsministervotering fick Stefan Löfven tummen ner av riksdagen. Det har varit en händelserik vecka i svensk politik. Ändå har i praktiken ingenting förändrats. SD är fortfarande ett populistiskt och ffämlingsfientligt parti som vill använda staten till att forma en mer homogen nation, och som pekar ut liberaler som en huvudfiende. Den parlamentariska matematiken har heller inte skiftat en tum. Varje typ av M-ledd regering som inte är förankrad över blockgränsen skulle behöva Jimmie Åkessons stöd inte bara för att tillträda, utan i varje viktig votering. Faktum är att sättet på vilket Ulf Kristerssons budget röstades igenom i riksdagen säger en hel del örn maktförhållandena örn han skulle släppas fram till statsministerposten. Moderatleda¬ ",1,6
450,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742651-ZONE1146013781,2,"och Liberalerna att lita på att Socialdemokraterna håller vad de lovar, partiet har en historia av att behandla sina partner illa. Att försöken att nå en överenskommelse misslyckades visar dock inte att en uppgörelse är omöjlig. Stefan Löfven flyttade sig visserligen inte tillräckligt. Men han visade också att han inte är fastfrusen i backen. Nu måste S-ledaren se till att röra sig mer. Socialdemokraterna har goda anledningar att gå mittenpartiema till mötes. Det beror inte främst på att dörren till Rosenbad dras igen för lång tid framöver om partiet inte klarar av att samarbeta med C och L. Huvudskälet är de strukturella problem som finns på den svenska arbets- respektive bostadsmarknaden. Förr eller senare kommer reformer att drivas igenom. Det ligger i S intresse att vara en del av den processen - inte som en bromskloss, utan som en konstruktiv motpart till de liberala partierna. För att det ska vara möjligt måste dock Stefan Löfven visa mod. Han måste våga säga nej till Vänsterpartiet och, framför allt, särintressena i den egna rörelsen. Det modet saknades förra helgen - det är fortfarande skillnaden mellan en regering och ett extraval. ",1,6
446,dark-10747121_part01_page002.jpg,https://datalab.kb.se/dark-10747121#1-2-ARTICLE74742651-ZONE1146013780,2,Lööf och Björklund lovade väljarna att inte ge SD något inflytande. Det finns inga skäl att svika det löftet nu.,1,6
1662,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014411,4,En gång i tiden var folket alltid farligt. I dag har det alltid rätt. Verkligheten är något mer komplicerad.,1,8
1664,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742712-ZONE1146014447,4,För presidenten är nämligen banden med Saudiarabien viktigare än det mesta.,1,9
1663,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742712-ZONE1146014448,4,"Kriget i Jernen är vidrigt, men Trump är inte den förste president som har prioriterat den strategiska relationen med Saudiarabien. Det som har fått kongressen att tappa tålamodet är mordet på Khashoggi och Vita husets envetna försvar av MBS. De ohyggliga detaljerna är en sak i sig, men händelsen var därtill ännu ett bevis på hur en vårdslös kronprins har kastat alla hämningar. Fredssamtalen om Jernen, som avslutades norr örn Stockholm på torsdagen, gav bräckliga resultat som nu ska testas mot krigets verklighet. Saudiarabien, som stöttar regeringssidan, har hittills inte nöjt sig med annat än huthirebellemas kapitulation. Om kongressen i USA kan bidra till att blodbadet upphör vore det en välgärning. ",1,9
1661,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742712-ZONE1146014443,4,"Trump har ryckt på axlarna och sagt att ingen kan veta hur den där journalisten miste livet, trots att CIA har berättat det för honom. För presidenten är nämligen banden med Saudiarabien viktigare än det mesta. Eller rättare sagt: saudierna köper så mycket vapen av och investerar så många miljarder i USA att det inte spelar någon roll vad herr kronprinsen annars sysslar med. ",1,9
1660,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742712-ZONE1146014439,4,"Saudiarabiens bombningar i Jernen är avskyvärda, och kronprins Mohammed bin Salman (MBS) beordrade mordet på den regimkritiske j oumalisten Jamal Khashoggi. Det är inga nyheter. Men nu har även den amerikanska senaten slagit fast att så är fallet. Med klar majoritet antogs natten till fredagen en partiöverskridande resolution som syftar till att stoppa USA:s ",1,9
1658,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014415,4,Deri österrikiske författaren Robert Musils moderna klassiker ”Mannen utan egenskaper” tar sin utgångspunkt i den så kallade parallellaktionen: i Wien förbereder en officiell kommitté firandet av kejsar Franz Josefs 70 år vid makten 1918. Samtidigt pågår samma förberedelser i Berlin där kejsar Wilhelm li har suttit 30 år på tronen och i Wien gäller det självfallet att överträffa preussarna. Men hur? Den - som det verkar briljanta idén kläcks att fråga folket. Sagt och gjort. Allmänheten uppfordras att komma in med förslag som snart strömmar in likt en populistisk tsunami.,1,8
1659,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014431,4,"Och folkets beslut brukar nästan alltid bestå i att säga nej till varje förändring, också de oundvikliga, eller i att fatta ”fel” beslut (som när svenska folket röstade för att behålla vänstertrafiken). Också britternas ja till Brexit i folkomröstningen 2016 är egentligen ett sådant nej: ett nej till en samtid där Storbritannien inte längre är en suverän världsmakt. Det var ju så mycket bättre förr när imperiet fortfarande fanns och Europa knappt räknades. Men med folkets nostalgi och önskedrömmande kan man alltid räkna och politikerna kan efteråt säga att folket fick som det ville. Det får nu - på gott och ont - folket nästan alltid. Och de politiker som fullt avsiktligt ger sig i lag med ”den tysta majoriteten” eller ”vanligt folk” blir nästan alltid till dess fångar. Till rasande cyklister. Det gäller för samtidens stora populister som Viktor Orbån, Matteo Salvini eller Donald Trump. Långt mer än av faktiska resultat gör de sig beroende av folkets nycker och gunst. Och vill det sig riktigt illa är vi snart tillbaka i Musils soptunna - med skillnaden att det nu blir de som tror sig härska, inte folket, som riskerar att befinna sig i den. ",1,8
1656,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014419,4,"demokratin inte bara ”tämjde” det utan lyfte fram dess ”rätta” väsen, nu kännetecknat av godhet och fridsamhet. Och det demokratiska folket har alltid rätt. Dess vilja bör därför ske, den I bästa garantin för ”fred och lycka” (Le ! Bon) är när den fritt kan manifesteras. Denna okomplicerade och positiva | uppfattning av folket är i dag sannolikt ! så omfattande att den hos (nästan) alla i av oss vilar som en inte längre ifrågasatt självklarhet i medvetandet. Fast var de första moderna demokraterna verkligen lika övertygade örn folkets förträfflighet? Knappast. I USA lade de ner stor omsorg på att bromsa och moderera folkviljans inflytande. Den amerikanska konstitutionens fäder var ytterst angelägna örn att majoritej tens folkstyre inte fick leda till att olika minoriteter kom till skada; i misstro I just mot folket byggde de in en lång rad checks and balances i det demokratiska ) systemet, institutioner och rättigheter av olika slag som i dag kommer till i användning när man försöker tygla en president i Vita huset som helst ignorerar dem, i stället åberopar sig direkt och så att säga ofiltrerat på folket. I Wien insåg den kejserliga parallellaktionens hyllningskommitté att folkets förslag var oanvändbara, men president Trump ser saken annorlunda: ur Musils soptunna berömmer han sig örn att plocka upp vad folket vill och önskar sig, utan större hänsyn till hur denna vilja och dessa önskemål kommer till uttryck inom den representativa demokratins sfär. Den föredrar Trump att regera förbi; helst ska inget finnas mellan honom och folket. Just folknära ska det vara och folkomröstningen är förstås den direktaste och bokstavligen mest populistiska formen av demokratisk maktutövning. Men i ett modernt, komplext och framför allt oöverskådligt samhälle med ett ",1,8
1655,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014424,4,"dagligt flöde av nödvändiga beslut är den - annat än som sällsynt undantag en administrativ omöjlighet. Dessutom intellektuellt ohederlig och primitiv: nästan inga problem låter sig lösas genom att göra tummen upp eller ner. Ironiskt nog blir därför den folkomröstning som politiker utlyser en omyndighetsförklaring av både den representativa demokratin och av dem själva. Politikerna abdikerar. De vältrar över beslut och ansvar på suveränen folket (demos), ett beslut som får dogmatisk tyngd och ett ansvar som förtunnas intill gränsen till det oförbindliga. ",1,8
1654,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014423,4,De politiker som fullt avsiktligt ger sig i lag med ”den tysta majoriteten” blir nästan alltid till dess fångar.,1,8
1653,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742712-ZONE1146014441,4,"stöd till Saudiarabiens krig. Därefter uttalade senaten enhälligt att MBS bär ansvaret för Khashoggis död på konsulatet i Istanbul i oktober. Detta har sin speciella betydelse. Republikanska senatorer har hittills blundat för president Donald Tramps nycker och villfarelser, för att de inte har vågat reta hans väljarbas. Nu är det bäddat för en öppen strid. ",1,9
1636,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742712-ZONE1146014444,4,"Dessutom är Saudiarabien enligt Trump regionens hopp i kampen mot skurkregimen i Iran. Huruvida saudierna också beter sig som skurkar är alltså inte intressant. Senaten hänvisar nu till en lag från 1973, stiftad på grund av Vietnamkriget och president Richard Nixons maktmissbruk. Den ger kongressen rätt att avgöra hur och när USA ska gå i krig. Därmed utmanas Tramps auktoritet på allvar. Representanthuset har hittills duckat, men där tar Demokraterna över kontrollen vid nyår. Formellt är visserligen inte amerikanerna direkt inblandade i Jernen. Men USA har hjälpt saudierna att tanka sina bombplan i luften och delat med sig av underrättelseuppgifter - och förstås sålt mängder av de vapen som har skapat den humanitära katastrofen. ",1,9
1657,dark-10747121_part01_page004.jpg,https://datalab.kb.se/dark-10747121#1-4-ARTICLE74742711-ZONE1146014418,4,"Det var som att öppna locket på en soptunna, skriver Musik Det är svårt att inte läsa hans lakoniska konstaterande som en sarkastisk kommentar till det så kallade folkets förmenta godhet och kvaliteter. Den tysta majoriteten har tillfrågats och resultatet är förskräckande. Musils mer än skeptiska hållning är typisk för hans intellektuella samtid; från Gustave Le Bon över José Ortega y Gasset och Oswald Spengler bort till Elias Canetti fascineras man av vad som ofta får heta ”måssan” och som nästan alltid förknippas med det irrationella, förstörande och våldsamma. Massan eller folket blir till en ondsint kraft som uppstår genom en halvt mystisk transcendens när någorlunda välmenande individer förvandlas till ett kollektivt och nytt antropologiskt väsen. I dag förknippar vi väl en sådan dystopi främst med 30-talet, ett slags stormsvala som förebådar de totalitära ideologierna och utmynnar i det andra världskriget. Men efter kriget skulle folket genomgå ännu en transcendens: ",1,8
2131,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014784,5,"och lagstiftningen går framåt kan | ämnen som tidigare varit godkända att använda i varor efter en tid ges res| triktioner. Vi anser att det måste vara möjligt att spåra ämnena och de varor j de finns i så att vi kan hantera dem på lämpligt sätt. 2Saker måste hålla länge och gå att reparera. Det behövs tydligare riktlinjer och krav på sakers repa| rerbarhet och förväntade livslängd. Ekodesigndirektivet, som i dag gäller exempelvis tvätt- och diskmaskiner, har gått från att bara innehålla krav på energiåtgång till att också inkludera krav på livslängd, reparerbarhet och information örn farliga ämnen. Motsvarande lagstiftning behövs för många ! fler produkter. Sänkt moms på små reparationer I av textil och cyklar har underlättat för i fortsatt användande, men det behövs i fler åtgärder för att det ska vara lika enkelt eller enklare att återanvända än att köpa nytt. Många produkter tillverkas i dag för att inte hålla så länge och på så I sätt öka omsättningen. Skulle det stäl¬ ",1,10
2133,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014783,5,"Ett exempel där användandet är ännu lägre men ändå ger upphov till stora avfallsmängder är borrmaskiner som i snitt används cirka 18 minuter under sin livstid, men lämnar 51 kilo avfall efter sig. ",1,10
2132,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014779,5,Vi har tre förslag för att minska prylsvinnet:,1,10
2129,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014800,5,Tresvarpå artikeln om biobränsle och klimatet (13/12):,1,11
2130,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014787,5,"las krav på producenterna att märka sina produkter med förväntad livslängd eller beräknad återanvändningsgrad så skulle det innebära att fler konsumenter valde varorna. Lång hållbarhet är ett ekonomiskt incitament för uthyrning, delning och begagnathandel. Produkter bör designas så att de går att reparera, i den mån det är möjligt, utan krav på licensierade serviceverkstäder. De bör också designas så att det går att separera material från varandra så att dessa enklare kan återanvändas och återvinnas. ",1,10
2127,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014804,5,"\Palmolja i biodrivmedel hotar urskog\"" Per Kågeson. """,1,11
2126,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014780,5,"1 Förbättra märkning och spårbarhet, för ökat återbruk och delning. Varje produkts ”osynliga avfall” har stor miljöpåverkan. Det gör det svårare för oss konsumenter att göra aktiva val för att minska prylsvinnet. En mobiltelefon väger till exempel mindre än 200 gram men det uppstår hela 86 kilo avfall när den produceras. En bärbar dator ger upphov till 1,2 ton avfall. Det här ”osynliga avfallet” har stor miljöpåverkan. För att vi konsumenter bättre ska få kunskap örn varors påverkan på miljön, och därmed få motivation att minska prylsvinnet, behövs mer tydlig information när det gäller tillverkningskostnad i form av koldioxidekvivalenter, olje, vatten- och avfallsmängd. På mat och kläder finns det innehållsförteckningar och ofta spårbarhet - på samma sätt bör det synas vilken miljöpåverkan produkterna har. Varors kemikalieinnehåll måste också kunna spåras. När vetenskapen ",1,10
2125,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014760,5,"Vår konsumtion är ohållbar - vilket inte minst märks i julhandeln. Vi behöver producera färre och mer hållbara saker. Men hur ska vi nå dit? Ett förslag är en märkning som visar förväntad livslängd och vilken miljöpåverkan produkten har. Saker bör också designas så att de går att reparera och så att materialen kan separeras, skriver åtta miljödebattörer. ",1,10
2134,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014774,5,"flera. Det rör sig bland annat örn: • Undermålig livslängd och möjlighet att reparera de saker som tillverkas. • Låg nyttjandegrad - många saker samlar damm under 99 procent av sin livslängd för att sedan slängas. • Låg återanvändning - många saker och material som kan återanvändas slängs i dag. • Vi lanserar nu ordet \prylsvinn\"" som ett samlingsnamn för dessa problem. Vi vill få upp prylsvinnet på agendan och minska det till sådan grad att fenomenet så småningom blir ett ord som inte längre behövs. """,1,10
2128,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014801,5,"\Allt för generaliserande slutsatser örn biodrivmedel\""14 forskare. """,1,11
2135,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014770,5,Prylsvinn: Den tid under en saks livslängd som den inte används. Kan även inkludera att saken slängs i förtid eller är konstruerad för en onödigt kort livslängd.,1,10
2139,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014788,5,"3Ge delningen möjlighet att växa. Delning av underutnyttjade transporter, ytor och saker är en viktig pusselbit i omställningen till en mer hållbar konsumtion. Enligt en undersökning genomförd av IVL Svenska miljöinstitutet kan en bil som delas (exempelvis genom bilpool eller genom privat uthyrning) ersätta mellan 4 och 13 bilar, beroende på hur många som gör sig av med den egna bilen eller avstår från att köpa en egen bil. Ett exempel där användandet är ännu lägre men ändå ger upphov till stora avfallsmängder är borrmaskiner som i snitt används cirka 18 minuter under sin livstid, men lämnar 51 kilo avfall efter sig. ",1,10
2137,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014764,5,"DN. DEBATT 20181215 I Sverige konsumerar vi som att vi hade fyra jordklot. Utmaningarna med vår ökande konsumtion måste tas på allvar. Efter nya säljrekord på Black Friday och nu i julhandeln vill vi mynta begreppet ”prylsvinn” för att uppmärksamma och bättre hantera vår överkonsumtion och vår slit- och slängkultur. Med prylsvinn menar vi all den tid som prylar inte används, eller att de slängs i förtid, inte går att reparera eller är tillverkade för en onödigt kort livslängd. Den växande konsumtionen är en av vår tids stora utmaningar. Det krävs modiga satsningar för att nå FN:s globala mål om en hållbar konsumtion och produktion till 2030. Även örn utsläppen av växthusgaser inom Sverige har minskat med 25 procent sedan 1990 har vi samtidigt ökat utsläppen från vår konsumtion i andra länder där produktionen sker. Enligt en rapport som Naturvårdsverket nyligen släppte så sker 65 procent av klimatutsläppen och 80 procent av användningen av bekämpningsmedel och farliga kemiska produkter kopplat till vår konsumtion utanför Sveriges gränser. Sverige ligger med i toppen av listan över dem som belastar jordklotet mest. ",1,10
2140,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014793,5,"Linnéa Aguero, hållbarhetsansvarig. Blocket Lisa Book Taube, head of sustainability, Sellpy Alexandra Davidsson, generalsekreterare, Föreningen medveten konsumtion Sverige Ola Degerfors, vd Hygglo AB Liv Fjellander, projektledare hållbar konsumtion, IVL Svenska miljöinstitutet Henning Gillberg, grundare, Repamera Karin Lexén, generalsekreterare, Naturskyddsföreningen Håkan Wirtén, generalsekreterare, WWF ",1,10
2136,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014766,5,"Vi som arbetar med att främja nya beteenden och förbättra förutsättningarna för en hållbar konsumtion ser att det behövs flera åtgärder, både i regelverk, i affärsmodeller och konsumtionsmönster för att driva på den förändring som krävs. De förändringar som görs nu sker för långsamt. Så här års efter Singles Day, Black Friday, och nu i julhandeln som väntas slå rekord igen, känns frågan örn en hållbar konsumtion ännu mer angelägen. Det finns stora miljövinster med att producera färre produkter och mer hållbara produkter och att använda de produkter vi redan har en längre tid genom att reparera, köpa begagnat eller dela det vi sällan använder i stället för att köpa nya. En utmaning med konsumtion är att det inte handlar örn ett problem utan ",1,10
2138,dark-10747121_part01_page005.jpg,https://datalab.kb.se/dark-10747121#1-5-ARTICLE74742717-ZONE1146014790,5,"Regeringen och myndigheterna behöver skapa rätt förutsättningar för att stimulera utvecklingen på det här området och minska prylsvinnet. En åtgärd kan vara att utreda och införa ett fribelopp på 50 000 kronor för privat uthyrning som ger positiv miljöpåverkan, på samma sätt som privatpersoner både kan hyra ut sin bostad, sälja begagnat och bedriva hobbyverksamhet för upp till 50 000 kronor per år. Vi uppmanar riksdagen och nästa regering att sätta prylsvinnet på agendan och med hjälp av dessa tre nycklar förbättra lagstiftningen och förändra normen för vad som är god konsumtion. ",1,10
2164,dark-10747121_part01_page006.jpg,https://datalab.kb.se/dark-10747121#1-6-ARTICLE74742751-ZONE1146015540,6,"DN kan avslöja nya uppgifter kring riksdagsledamoten Jonas Millard (SD), vars Flashbackkonto spridit grovt kvinnofömedrande innehåll. Lösenordet till kontot är samma som Millard använt till åtminstone sju andra nättjänster, däribland jobbmejlen, - ett lösenord han påstår sig ha delat med personer som han inte har en aning örn vilka de är. ",1,12
